timestmp,X_IN,X_OUT
0.0,0.0,-0.03201561453802526
0.01001001001001001,0.3763740905408881,0.0006198718080041833
0.02002002002002002,0.7468006634006749,0.350660910418359
0.03003003003003003,1.1054261844307496,0.8373126317729646
0.04004004004004004,1.446583601406143,1.0436835893650316
0.050050050050050046,1.764881895602415,1.0090283083665963
0.06006006006006006,2.0552912714513427,1.1511754711554332
0.07007007007007007,2.3132226380961742,1.6525932074130127
0.08008008008008008,2.534600126867453,2.2427446466263765
0.09009009009009009,2.71592549874779,2.405176556449408
0.10010010010010009,2.8543334240495297,2.363498093814463
0.11011011011011011,2.947636760767883,2.372975693796531
0.12012012012012012,2.994361116114439,2.3759760220526807
0.13013013013013014,2.9937681450847298,2.3847879375589836
0.14014014014014015,2.94586721789252,2.639790276903101
0.15015015015015015,2.8514152719003345,2.95359096971976
0.16016016016016016,2.7119048503860483,2.8739516640663645
0.17017017017017017,2.5295405171586673,2.8808654962102813
0.18018018018018017,2.307204019722951,2.652508429001364
0.19019019019019018,2.0484087514895672,2.2370782083356096
0.20020020020020018,1.7572442326255189,2.049279227567229
0.21021021021021022,1.43831148686643,1.6886822044735421
0.22022022022022023,1.096650335475657,1.3804088348655081
0.23023023023023023,0.7376597572615516,1.1950125557983837
0.24024024024024024,0.36701257313537194,0.6189657731315157
0.2502502502502503,-0.009434196623209327,0.04054811137330985
0.2602602602602603,-0.3857318858456068,-0.1249855929208019
0.2702702702702703,-0.7559341841553755,-0.33592998974184
0.2802802802802803,-1.1141911014227048,-0.7904864201990288
0.2902902902902903,-1.4548414101524632,-1.0982996128413087
0.3003003003003003,-1.7725021050178742,-1.5339291832711042
0.3103103103103103,-2.0621534658873304,-2.0387750766376658
0.3203203203203203,-2.3192183801661526,-2.2716924722627296
0.3303303303303303,-2.539634670990181,-2.4931515929955075
0.34034034034034033,-2.7199192883306678,-2.5769045766791066
0.35035035035035034,-2.8572233486533536,-2.5483616926099804
0.36036036036036034,-2.9493771533871125,-2.3576826475222727
